Aggregation_Scale,Temporal_Fold,Buffer_Start,Buffer_End,Buffer_Length,Buffer_Length_Unit,Reason,Notes
1hour,1,,,0,hours,No additional temporal buffer for 1-hour target,"Buffer_Length is 0. Validation records are selected by Temporal_Fold, and no extra timestamp-distance-based exclusion is applied to candidate training records."
1hour,2,,,0,hours,No additional temporal buffer for 1-hour target,"Buffer_Length is 0. Validation records are selected by Temporal_Fold, and no extra timestamp-distance-based exclusion is applied to candidate training records."
1hour,3,,,0,hours,No additional temporal buffer for 1-hour target,"Buffer_Length is 0. Validation records are selected by Temporal_Fold, and no extra timestamp-distance-based exclusion is applied to candidate training records."
1hour,4,,,0,hours,No additional temporal buffer for 1-hour target,"Buffer_Length is 0. Validation records are selected by Temporal_Fold, and no extra timestamp-distance-based exclusion is applied to candidate training records."
1hour,5,,,0,hours,No additional temporal buffer for 1-hour target,"Buffer_Length is 0. Validation records are selected by Temporal_Fold, and no extra timestamp-distance-based exclusion is applied to candidate training records."
24hour,1,,,24,hours,Temporal leakage prevention around validation timestamps,"Buffer is applied dynamically in run_temporal_cv.py. For Temporal_Fold=1, candidate training records are excluded if their Timestamp is within ±24 hours of any validation Timestamp. Buffer_Start and Buffer_End are intentionally left blank because the buffer is timestamp-wise rather than one fixed continuous interval."
24hour,2,,,24,hours,Temporal leakage prevention around validation timestamps,"Buffer is applied dynamically in run_temporal_cv.py. For Temporal_Fold=2, candidate training records are excluded if their Timestamp is within ±24 hours of any validation Timestamp. Buffer_Start and Buffer_End are intentionally left blank because the buffer is timestamp-wise rather than one fixed continuous interval."
24hour,3,,,24,hours,Temporal leakage prevention around validation timestamps,"Buffer is applied dynamically in run_temporal_cv.py. For Temporal_Fold=3, candidate training records are excluded if their Timestamp is within ±24 hours of any validation Timestamp. Buffer_Start and Buffer_End are intentionally left blank because the buffer is timestamp-wise rather than one fixed continuous interval."
24hour,4,,,24,hours,Temporal leakage prevention around validation timestamps,"Buffer is applied dynamically in run_temporal_cv.py. For Temporal_Fold=4, candidate training records are excluded if their Timestamp is within ±24 hours of any validation Timestamp. Buffer_Start and Buffer_End are intentionally left blank because the buffer is timestamp-wise rather than one fixed continuous interval."
24hour,5,,,24,hours,Temporal leakage prevention around validation timestamps,"Buffer is applied dynamically in run_temporal_cv.py. For Temporal_Fold=5, candidate training records are excluded if their Timestamp is within ±24 hours of any validation Timestamp. Buffer_Start and Buffer_End are intentionally left blank because the buffer is timestamp-wise rather than one fixed continuous interval."
168hour,1,,,168,hours,Temporal leakage prevention around validation timestamps,"Buffer is applied dynamically in run_temporal_cv.py. For Temporal_Fold=1, candidate training records are excluded if their Timestamp is within ±168 hours of any validation Timestamp. Buffer_Start and Buffer_End are intentionally left blank because the buffer is timestamp-wise rather than one fixed continuous interval."
168hour,2,,,168,hours,Temporal leakage prevention around validation timestamps,"Buffer is applied dynamically in run_temporal_cv.py. For Temporal_Fold=2, candidate training records are excluded if their Timestamp is within ±168 hours of any validation Timestamp. Buffer_Start and Buffer_End are intentionally left blank because the buffer is timestamp-wise rather than one fixed continuous interval."
168hour,3,,,168,hours,Temporal leakage prevention around validation timestamps,"Buffer is applied dynamically in run_temporal_cv.py. For Temporal_Fold=3, candidate training records are excluded if their Timestamp is within ±168 hours of any validation Timestamp. Buffer_Start and Buffer_End are intentionally left blank because the buffer is timestamp-wise rather than one fixed continuous interval."
168hour,4,,,168,hours,Temporal leakage prevention around validation timestamps,"Buffer is applied dynamically in run_temporal_cv.py. For Temporal_Fold=4, candidate training records are excluded if their Timestamp is within ±168 hours of any validation Timestamp. Buffer_Start and Buffer_End are intentionally left blank because the buffer is timestamp-wise rather than one fixed continuous interval."
168hour,5,,,168,hours,Temporal leakage prevention around validation timestamps,"Buffer is applied dynamically in run_temporal_cv.py. For Temporal_Fold=5, candidate training records are excluded if their Timestamp is within ±168 hours of any validation Timestamp. Buffer_Start and Buffer_End are intentionally left blank because the buffer is timestamp-wise rather than one fixed continuous interval."
31day,1,,,336,hours,Temporal leakage prevention around validation timestamps,"Buffer is applied dynamically in run_temporal_cv.py. For Temporal_Fold=1, candidate training records are excluded if their Timestamp is within ±336 hours of any validation Timestamp. Buffer_Start and Buffer_End are intentionally left blank because the buffer is timestamp-wise rather than one fixed continuous interval. For the 31day aggregation scale, 336 hours correspond to a 14-day buffer."
31day,2,,,336,hours,Temporal leakage prevention around validation timestamps,"Buffer is applied dynamically in run_temporal_cv.py. For Temporal_Fold=2, candidate training records are excluded if their Timestamp is within ±336 hours of any validation Timestamp. Buffer_Start and Buffer_End are intentionally left blank because the buffer is timestamp-wise rather than one fixed continuous interval. For the 31day aggregation scale, 336 hours correspond to a 14-day buffer."
31day,3,,,336,hours,Temporal leakage prevention around validation timestamps,"Buffer is applied dynamically in run_temporal_cv.py. For Temporal_Fold=3, candidate training records are excluded if their Timestamp is within ±336 hours of any validation Timestamp. Buffer_Start and Buffer_End are intentionally left blank because the buffer is timestamp-wise rather than one fixed continuous interval. For the 31day aggregation scale, 336 hours correspond to a 14-day buffer."
31day,4,,,336,hours,Temporal leakage prevention around validation timestamps,"Buffer is applied dynamically in run_temporal_cv.py. For Temporal_Fold=4, candidate training records are excluded if their Timestamp is within ±336 hours of any validation Timestamp. Buffer_Start and Buffer_End are intentionally left blank because the buffer is timestamp-wise rather than one fixed continuous interval. For the 31day aggregation scale, 336 hours correspond to a 14-day buffer."
31day,5,,,336,hours,Temporal leakage prevention around validation timestamps,"Buffer is applied dynamically in run_temporal_cv.py. For Temporal_Fold=5, candidate training records are excluded if their Timestamp is within ±336 hours of any validation Timestamp. Buffer_Start and Buffer_End are intentionally left blank because the buffer is timestamp-wise rather than one fixed continuous interval. For the 31day aggregation scale, 336 hours correspond to a 14-day buffer."
